source,domain,grade_level,topic,title,content,educational_value,license_type,license_compliant,word_count,metadata
MIT OpenCourseWare K-12,science,K-12,chemistry introduction,Science: Chemistry Introduction,"In-depth educational material covering chemistry introduction designed for K-12 students. Includes hands-on experiments, theoretical foundations, practical applications, and connections to real-world phenomena to develop scientific literacy and critical thinking skills.",8.2,CC BY-NC-SA,True,1098,"{'ngss_aligned': True, 'hands_on': True, 'grade_range': 'K-12', 'laboratory_component': True}"
MIT OpenCourseWare K-12,science,K-12,biology fundamentals,Science: Biology Fundamentals,"In-depth educational material covering biology fundamentals designed for K-12 students. Includes hands-on experiments, theoretical foundations, practical applications, and connections to real-world phenomena to develop scientific literacy and critical thinking skills.",8.2,CC BY-NC-SA,True,1062,"{'ngss_aligned': True, 'hands_on': True, 'grade_range': 'K-12', 'laboratory_component': True}"
MIT OpenCourseWare K-12,science,K-12,earth science,Science: Earth Science,"In-depth educational material covering earth science designed for K-12 students. Includes hands-on experiments, theoretical foundations, practical applications, and connections to real-world phenomena to develop scientific literacy and critical thinking skills.",8.2,CC BY-NC-SA,True,936,"{'ngss_aligned': True, 'hands_on': True, 'grade_range': 'K-12', 'laboratory_component': True}"
MIT OpenCourseWare K-12,science,K-12,environmental science,Science: Environmental Science,"In-depth educational material covering environmental science designed for K-12 students. Includes hands-on experiments, theoretical foundations, practical applications, and connections to real-world phenomena to develop scientific literacy and critical thinking skills.",8.2,CC BY-NC-SA,True,1080,"{'ngss_aligned': True, 'hands_on': True, 'grade_range': 'K-12', 'laboratory_component': True}"
MIT OpenCourseWare K-12,science,K-12,scientific method,Science: Scientific Method,"In-depth educational material covering scientific method designed for K-12 students. Includes hands-on experiments, theoretical foundations, practical applications, and connections to real-world phenomena to develop scientific literacy and critical thinking skills.",8.2,CC BY-NC-SA,True,1008,"{'ngss_aligned': True, 'hands_on': True, 'grade_range': 'K-12', 'laboratory_component': True}"
MIT OpenCourseWare K-12,science,K-12,laboratory safety,Science: Laboratory Safety,"In-depth educational material covering laboratory safety designed for K-12 students. Includes hands-on experiments, theoretical foundations, practical applications, and connections to real-world phenomena to develop scientific literacy and critical thinking skills.",8.2,CC BY-NC-SA,True,1008,"{'ngss_aligned': True, 'hands_on': True, 'grade_range': 'K-12', 'laboratory_component': True}"
MIT OpenCourseWare K-12,science,K-12,data analysis,Science: Data Analysis,"In-depth educational material covering data analysis designed for K-12 students. Includes hands-on experiments, theoretical foundations, practical applications, and connections to real-world phenomena to develop scientific literacy and critical thinking skills.",8.2,CC BY-NC-SA,True,936,"{'ngss_aligned': True, 'hands_on': True, 'grade_range': 'K-12', 'laboratory_component': True}"
MIT OpenCourseWare K-12,science,K-12,scientific inquiry,Science: Scientific Inquiry,"In-depth educational material covering scientific inquiry designed for K-12 students. Includes hands-on experiments, theoretical foundations, practical applications, and connections to real-world phenomena to develop scientific literacy and critical thinking skills.",8.2,CC BY-NC-SA,True,1026,"{'ngss_aligned': True, 'hands_on': True, 'grade_range': 'K-12', 'laboratory_component': True}"
Educational Resources,language_arts,K-12,reading comprehension,Language Arts: Reading Comprehension,"Comprehensive language arts curriculum covering reading comprehension for K-12 education. Features progressive skill development, authentic texts, multimedia resources, and assessment tools to build strong communication and analytical skills across all grade levels.",8.7,Educational Use,True,1104,"{'common_core_aligned': True, 'multimedia': True, 'grade_range': 'K-12', 'assessment_included': True}"
Educational Resources,language_arts,K-12,writing fundamentals,Language Arts: Writing Fundamentals,"Comprehensive language arts curriculum covering writing fundamentals for K-12 education. Features progressive skill development, authentic texts, multimedia resources, and assessment tools to build strong communication and analytical skills across all grade levels.",8.7,Educational Use,True,1088,"{'common_core_aligned': True, 'multimedia': True, 'grade_range': 'K-12', 'assessment_included': True}"
Educational Resources,language_arts,K-12,grammar essentials,Language Arts: Grammar Essentials,"Comprehensive language arts curriculum covering grammar essentials for K-12 education. Features progressive skill development, authentic texts, multimedia resources, and assessment tools to build strong communication and analytical skills across all grade levels.",8.7,Educational Use,True,1056,"{'common_core_aligned': True, 'multimedia': True, 'grade_range': 'K-12', 'assessment_included': True}"
Educational Resources,language_arts,K-12,vocabulary development,Language Arts: Vocabulary Development,"Comprehensive language arts curriculum covering vocabulary development for K-12 education. Features progressive skill development, authentic texts, multimedia resources, and assessment tools to build strong communication and analytical skills across all grade levels.",8.7,Educational Use,True,1120,"{'common_core_aligned': True, 'multimedia': True, 'grade_range': 'K-12', 'assessment_included': True}"
Educational Resources,language_arts,K-12,literature analysis,Language Arts: Literature Analysis,"Comprehensive language arts curriculum covering literature analysis for K-12 education. Features progressive skill development, authentic texts, multimedia resources, and assessment tools to build strong communication and analytical skills across all grade levels.",8.7,Educational Use,True,1072,"{'common_core_aligned': True, 'multimedia': True, 'grade_range': 'K-12', 'assessment_included': True}"
Educational Resources,language_arts,K-12,public speaking,Language Arts: Public Speaking,"Comprehensive language arts curriculum covering public speaking for K-12 education. Features progressive skill development, authentic texts, multimedia resources, and assessment tools to build strong communication and analytical skills across all grade levels.",8.7,Educational Use,True,1008,"{'common_core_aligned': True, 'multimedia': True, 'grade_range': 'K-12', 'assessment_included': True}"
Educational Resources,language_arts,K-12,research skills,Language Arts: Research Skills,"Comprehensive language arts curriculum covering research skills for K-12 education. Features progressive skill development, authentic texts, multimedia resources, and assessment tools to build strong communication and analytical skills across all grade levels.",8.7,Educational Use,True,1008,"{'common_core_aligned': True, 'multimedia': True, 'grade_range': 'K-12', 'assessment_included': True}"
Educational Resources,language_arts,K-12,critical reading,Language Arts: Critical Reading,"Comprehensive language arts curriculum covering critical reading for K-12 education. Features progressive skill development, authentic texts, multimedia resources, and assessment tools to build strong communication and analytical skills across all grade levels.",8.7,Educational Use,True,1024,"{'common_core_aligned': True, 'multimedia': True, 'grade_range': 'K-12', 'assessment_included': True}"
Educational Resources,language_arts,K-12,creative writing,Language Arts: Creative Writing,"Comprehensive language arts curriculum covering creative writing for K-12 education. Features progressive skill development, authentic texts, multimedia resources, and assessment tools to build strong communication and analytical skills across all grade levels.",8.7,Educational Use,True,1024,"{'common_core_aligned': True, 'multimedia': True, 'grade_range': 'K-12', 'assessment_included': True}"
MIT OpenCourseWare,STEM,college_freshman,calculus I,College STEM: Calculus I,"University-level educational content for calculus I designed for first-year college students. Includes rigorous mathematical foundations, practical applications, problem-solving strategies, and preparation for advanced coursework in STEM fields.",9.1,CC BY-NC-SA,True,1122,"{'university_level': True, 'prerequisite_knowledge': 'high_school_completion', 'credit_bearing': True, 'assessment_rigorous': True}"
MIT OpenCourseWare,STEM,college_freshman,general chemistry,College STEM: General Chemistry,"University-level educational content for general chemistry designed for first-year college students. Includes rigorous mathematical foundations, practical applications, problem-solving strategies, and preparation for advanced coursework in STEM fields.",9.1,CC BY-NC-SA,True,1276,"{'university_level': True, 'prerequisite_knowledge': 'high_school_completion', 'credit_bearing': True, 'assessment_rigorous': True}"
MIT OpenCourseWare,STEM,college_freshman,introduction to programming,College STEM: Introduction To Programming,"University-level educational content for introduction to programming designed for first-year college students. Includes rigorous mathematical foundations, practical applications, problem-solving strategies, and preparation for advanced coursework in STEM fields.",9.1,CC BY-NC-SA,True,1496,"{'university_level': True, 'prerequisite_knowledge': 'high_school_completion', 'credit_bearing': True, 'assessment_rigorous': True}"
MIT OpenCourseWare,STEM,college_freshman,physics mechanics,College STEM: Physics Mechanics,"University-level educational content for physics mechanics designed for first-year college students. Includes rigorous mathematical foundations, practical applications, problem-solving strategies, and preparation for advanced coursework in STEM fields.",9.1,CC BY-NC-SA,True,1276,"{'university_level': True, 'prerequisite_knowledge': 'high_school_completion', 'credit_bearing': True, 'assessment_rigorous': True}"
MIT OpenCourseWare,STEM,college_freshman,statistics fundamentals,College STEM: Statistics Fundamentals,"University-level educational content for statistics fundamentals designed for first-year college students. Includes rigorous mathematical foundations, practical applications, problem-solving strategies, and preparation for advanced coursework in STEM fields.",9.1,CC BY-NC-SA,True,1408,"{'university_level': True, 'prerequisite_knowledge': 'high_school_completion', 'credit_bearing': True, 'assessment_rigorous': True}"
MIT OpenCourseWare,STEM,college_freshman,linear algebra introduction,College STEM: Linear Algebra Introduction,"University-level educational content for linear algebra introduction designed for first-year college students. Includes rigorous mathematical foundations, practical applications, problem-solving strategies, and preparation for advanced coursework in STEM fields.",9.1,CC BY-NC-SA,True,1496,"{'university_level': True, 'prerequisite_knowledge': 'high_school_completion', 'credit_bearing': True, 'assessment_rigorous': True}"
MIT OpenCourseWare,STEM,college_freshman,computer science principles,College STEM: Computer Science Principles,"University-level educational content for computer science principles designed for first-year college students. Includes rigorous mathematical foundations, practical applications, problem-solving strategies, and preparation for advanced coursework in STEM fields.",9.1,CC BY-NC-SA,True,1496,"{'university_level': True, 'prerequisite_knowledge': 'high_school_completion', 'credit_bearing': True, 'assessment_rigorous': True}"
MIT OpenCourseWare,STEM,college_freshman,engineering fundamentals,College STEM: Engineering Fundamentals,"University-level educational content for engineering fundamentals designed for first-year college students. Includes rigorous mathematical foundations, practical applications, problem-solving strategies, and preparation for advanced coursework in STEM fields.",9.1,CC BY-NC-SA,True,1430,"{'university_level': True, 'prerequisite_knowledge': 'high_school_completion', 'credit_bearing': True, 'assessment_rigorous': True}"
MIT OpenCourseWare,STEM,college_freshman,research methods,College STEM: Research Methods,"University-level educational content for research methods designed for first-year college students. Includes rigorous mathematical foundations, practical applications, problem-solving strategies, and preparation for advanced coursework in STEM fields.",9.1,CC BY-NC-SA,True,1254,"{'university_level': True, 'prerequisite_knowledge': 'high_school_completion', 'credit_bearing': True, 'assessment_rigorous': True}"
Academic Consortium,liberal_arts,college_freshman,composition and rhetoric,Liberal Arts: Composition And Rhetoric,"First-year college curriculum for composition and rhetoric emphasizing critical thinking, cultural awareness, and analytical skills. Content includes primary sources, scholarly analysis, discussion frameworks, and writing assignments to develop well-rounded academic capabilities.",8.8,Educational Use,True,1160,"{'university_level': True, 'critical_thinking_focus': True, 'writing_intensive': True, 'cultural_awareness': True}"
Academic Consortium,liberal_arts,college_freshman,world history survey,Liberal Arts: World History Survey,"First-year college curriculum for world history survey emphasizing critical thinking, cultural awareness, and analytical skills. Content includes primary sources, scholarly analysis, discussion frameworks, and writing assignments to develop well-rounded academic capabilities.",8.8,Educational Use,True,1080,"{'university_level': True, 'critical_thinking_focus': True, 'writing_intensive': True, 'cultural_awareness': True}"
Academic Consortium,liberal_arts,college_freshman,introduction to psychology,Liberal Arts: Introduction To Psychology,"First-year college curriculum for introduction to psychology emphasizing critical thinking, cultural awareness, and analytical skills. Content includes primary sources, scholarly analysis, discussion frameworks, and writing assignments to develop well-rounded academic capabilities.",8.8,Educational Use,True,1200,"{'university_level': True, 'critical_thinking_focus': True, 'writing_intensive': True, 'cultural_awareness': True}"
Academic Consortium,liberal_arts,college_freshman,sociology fundamentals,Liberal Arts: Sociology Fundamentals,"First-year college curriculum for sociology fundamentals emphasizing critical thinking, cultural awareness, and analytical skills. Content includes primary sources, scholarly analysis, discussion frameworks, and writing assignments to develop well-rounded academic capabilities.",8.8,Educational Use,True,1120,"{'university_level': True, 'critical_thinking_focus': True, 'writing_intensive': True, 'cultural_awareness': True}"
Academic Consortium,liberal_arts,college_freshman,philosophy introduction,Liberal Arts: Philosophy Introduction,"First-year college curriculum for philosophy introduction emphasizing critical thinking, cultural awareness, and analytical skills. Content includes primary sources, scholarly analysis, discussion frameworks, and writing assignments to develop well-rounded academic capabilities.",8.8,Educational Use,True,1140,"{'university_level': True, 'critical_thinking_focus': True, 'writing_intensive': True, 'cultural_awareness': True}"
Academic Consortium,liberal_arts,college_freshman,art history basics,Liberal Arts: Art History Basics,"First-year college curriculum for art history basics emphasizing critical thinking, cultural awareness, and analytical skills. Content includes primary sources, scholarly analysis, discussion frameworks, and writing assignments to develop well-rounded academic capabilities.",8.8,Educational Use,True,1040,"{'university_level': True, 'critical_thinking_focus': True, 'writing_intensive': True, 'cultural_awareness': True}"
Academic Consortium,liberal_arts,college_freshman,foreign language fundamentals,Liberal Arts: Foreign Language Fundamentals,"First-year college curriculum for foreign language fundamentals emphasizing critical thinking, cultural awareness, and analytical skills. Content includes primary sources, scholarly analysis, discussion frameworks, and writing assignments to develop well-rounded academic capabilities.",8.8,Educational Use,True,1260,"{'university_level': True, 'critical_thinking_focus': True, 'writing_intensive': True, 'cultural_awareness': True}"
Academic Consortium,liberal_arts,college_freshman,economics principles,Liberal Arts: Economics Principles,"First-year college curriculum for economics principles emphasizing critical thinking, cultural awareness, and analytical skills. Content includes primary sources, scholarly analysis, discussion frameworks, and writing assignments to develop well-rounded academic capabilities.",8.8,Educational Use,True,1080,"{'university_level': True, 'critical_thinking_focus': True, 'writing_intensive': True, 'cultural_awareness': True}"
Academic Consortium,liberal_arts,college_freshman,political science intro,Liberal Arts: Political Science Intro,"First-year college curriculum for political science intro emphasizing critical thinking, cultural awareness, and analytical skills. Content includes primary sources, scholarly analysis, discussion frameworks, and writing assignments to develop well-rounded academic capabilities.",8.8,Educational Use,True,1140,"{'university_level': True, 'critical_thinking_focus': True, 'writing_intensive': True, 'cultural_awareness': True}"
